LANG_NAME	Comments	English	Français	Deutsch	Italiano	US
STR_CREDITS_176		Randy Lee	Randy Lee	Randy Lee	Randy Lee	Randy Lee
STR_CREDITS_177		Bill Carroll	Bill Carroll	Bill Carroll	Bill Carroll	Bill Carroll
STR_CREDITS_178		Testers	Testeurs	Tester	Testato da:	Testers
STR_CREDITS_179		Mike Romatelli	Mike Romatelli	Mike Romatelli	Mike Romatelli	Mike Romatelli
STR_CREDITS_180		Brian Sadacca	Brian Sadacca	Brian Sadacca	Brian Sadacca	Brian Sadacca
STR_CREDITS_181		Eric Marmaldi	Eric Marmaldi	Eric Marmaldi	Eric Marmaldi	Eric Marmaldi
STR_CREDITS_182		Tony Calabresi	Tony Calabresi	Tony Calabresi	Tony Calabresi	Tony Calabresi
STR_CREDITS_183		General Manager	Directeur 	Allgemeines Management	Responsabile generale	General Manager
STR_CREDITS_184		John Hurlbut	John Hurlbut	John Hurlbut	John Hurlbut	John Hurlbut
STR_CREDITS_185		Director of Marketing	Directeur du marketing	Leitung Marketing	Direttore del marketing	Director of Marketing
STR_CREDITS_186		Tom Nichols	Tom Nichols	Tom Nichols	Tom Nichols	Tom Nichols
STR_CREDITS_187		Director of Marketing	Directeur du marketing	Leitung Marketing	Direttore del marketing	Director of Marketing
STR_CREDITS_188		Petrina McPhee	Petrina McPhee	Petrina McPhee	Petrina McPhee	Petrina McPhee
STR_CREDITS_189		Director of Marketing	Directeur du marketing	Leitung Marketing	Direttore del marketing	Director of Marketing
STR_CREDITS_190		Ann Marie Bland	Ann Marie Bland	Ann Marie Bland	Ann Marie Bland	Ann Marie Bland
STR_CREDITS_191		V.P. of Marketing	Vice-président du 	VP Marketing-	Vicepresidente	V.P. of Marketing
STR_CREDITS_192		Services	service marketing	Organisation	servizi di marketing	Services
STR_CREDITS_193		Gale Steiner	Gale Steiner	Gale Steiner	Gale Steiner	Gale Steiner
STR_CREDITS_194		Chief Visual Officer	Directeur création visuelle	Leitung Design	Direttore grafico	Chief Visual Officer
STR_CREDITS_195		Steve Webster	Steve Webster	Steve Webster	Steve Webster	Steve Webster
STR_CREDITS_196		Manager of Creative	Responsable 	Leitung	Responsabile	Manager of Creative
STR_CREDITS_197		Services	des services créatifs	Kreativabteilung	servizi creativi	Services
STR_CREDITS_198		Steve Martin	Steve Martin	Steve Martin	Steve Martin	Steve Martin
STR_CREDITS_199		Manager of	Responsable des 		Responsabile	Manager of
STR_CREDITS_200		Editorial/Documentation	services éditoriaux	Leitung Redaktion 	dei servizi editoriali	Editorial/Documentation
STR_CREDITS_201		Services	et de documentation	und Dokumentaion	e della documentazione	Services
STR_CREDITS_202		Elizabeth Mackney	Elizabeth Mackney	Elizabeth Mackney	Elizabeth Mackney	Elizabeth Mackney
STR_CREDITS_203		Marketing Services	Responsable du	Management Marketing-	Responsabile	Marketing Services
STR_CREDITS_204		Manager	service marketing	Organisation	servizi del marketing	Manager
STR_CREDITS_205		Kathryn Lynch	Kathryn Lynch	Kathryn Lynch	Kathryn Lynch	Kathryn Lynch
STR_CREDITS_206		Senior Graphic Designer	Concepteur graphique en chef	Leitende Grafik-Designerin	Ideazione grafica	Senior Graphic Designer
STR_CREDITS_207		Kristine Meier	Kristine Meier	Kristine Meier	Kristine Meier	Kristine Meier
STR_CREDITS_208		Graphic Designer	Concepteur graphique	Grafik-Designer	Artista grafico	Graphic Designer
STR_CREDITS_209		Paul Anselmi	Paul Anselmi	Paul Anselmi	Paul Anselmi	Paul Anselmi
STR_CREDITS_210		Graphic Designer	Concepteur graphique	Grafik-Designer	Artista grafico	Graphic Designer
STR_CREDITS_211		Morgan Tomaiolo	Morgan Tomaiolo	Morgan Tomaiolo	Morgan Tomaiolo	Morgan Tomaiolo
STR_CREDITS_212		Documentation Writer	Documentation 	Dokumentation 	Documentazione	Documentation Writer
STR_CREDITS_213		Mark Russell	Mark Russell	Mark Russell	Mark Russell	Mark Russell
STR_CREDITS_214		Copywriter	Rédacteur publicitaire	Texter	Redattore	Copywriter
STR_CREDITS_215		Paul Collin	Paul Collin	Paul Collin	Paul Collin	Paul Collin
STR_CREDITS_216		Channel Marketing	Directeur du circuit 	Leitung	Direttore 	Channel Marketing
STR_CREDITS_217		Director	de commercialisation	Channel-Marketing	canali di marketing	Director
STR_CREDITS_218		Sarah McIlroy	Sarah McIlroy	Sarah McIlroy	Sarah McIlroy	Sarah McIlroy
STR_CREDITS_219		V.P. of Public	Vice-président des	VP Public	Vicepresidente	V.P. of Public
STR_CREDITS_220		Relations	relations publiques	Relations	pubbliche relazioni	Relations
STR_CREDITS_221		Laura Tomasetti	Laura Tomasetti	Laura Tomasetti	Laura Tomasetti	Laura Tomasetti
STR_CREDITS_222		Manager of Public	Responsable des 	Leitung 	Responsabile	Manager of Public
STR_CREDITS_223		Relations	relations publiques	Public Relations	pubbliche relazioni	Relations
STR_CREDITS_224		Jayson Hill	Jayson Hill	Jayson Hill	Jayson Hill	Jayson Hill
STR_CREDITS_225		Manager of	Responsable 	Technische 	Responsabile	Manager of
STR_CREDITS_226		Technical Services	des services techniques	Leitung	servizi tecnici	Technical Services
STR_CREDITS_227		Tony Moreira	Tony Moreira	Tony Moreira	Tony Moreira	Tony Moreira
STR_CREDITS_228		V.P. of Administration	Vice-président administration	VP Verwaltung	Vicepresidente	V.P. of Administration
STR_CREDITS_229		and Operations	et opérations	und Betriebsleitung	amministrativo e operativo	and Operations
STR_CREDITS_230		Bob Sadacca	Bob Sadacca	Bob Sadacca	Bob Sadacca	Bob Sadacca
STR_CREDITS_231		Operations and	Responsable  		Responsabile	Operations and
STR_CREDITS_232		Special Projects	des opérations	Sonderprojekt-	operazioni	Special Projects
STR_CREDITS_233		Manager	et des projets spéciaux	und Betriebsleitung	e progetti speciali	Manager
STR_CREDITS_234		Tracy Kureta	Tracy Kureta	Tracy Kureta	Tracy Kureta	Tracy Kureta
STR_CREDITS_235		Legal and Finance	Organe juridique et financier	Recht und Finanzen	Esperto legale e finanziario	Legal and Finance
STR_CREDITS_236		Jackie Daya	Jackie Daya	Jackie Daya	Jackie Daya	Jackie Daya
STR_CREDITS_237		Deborah Stone	Deborah Stone	Deborah Stone	Deborah Stone	Deborah Stone
STR_CREDITS_238		Rosalie Cravotta	Rosalie Cravotta	Rosalie Cravotta	Rosalie Cravotta	Rosalie Cravotta
STR_CREDITS_239		Linda Ferros	Linda Ferros	Linda Ferros	Linda Ferros	Linda Ferros
STR_CREDITS_240	CREDITS SECTION - END	___________________	___________________	___________________	___________________	___________________
STR_LEGAL_1	COPYRIGHT INFO - START	"© 2000 Hasbro Interactive, Inc. "	"© 2000 Hasbro Interactive, Inc. "	"© 2000 Hasbro Interactive, Inc. "	"© 2000 Hasbro Interactive, Inc. "	"© 2000 Hasbro Interactive, Inc. "
STR_LEGAL_2		All Rights Reserved	All Rights Reserved	Alle Rechte vorbehalten.	Tutti i diritti riservati.	All Rights Reserved
STR_LEGAL_3		KONAMI and FROGGER are the 	KONAMI and FROGGER are the 	KONAMI und FROGGER sind 	KONAMI e FROGGER sono	KONAMI and FROGGER are the 
STR_LEGAL_4		trademarks of KONAMI CO. LTD.	trademarks of KONAMI CO. LTD.	Warenzeichen von KONAMI CO. LTD.	marchi registrati di KONAMI CO. LTD.	trademarks of KONAMI CO. LTD.
STR_LEGAL_5		© 1981 KONAMI.	© 1981 KONAMI.	© 1981 KONAMI.	© 1981 KONAMI.	© 1981 KONAMI.
STR_LEGAL_6		All Rights Reserved	All Rights Reserved	Alle Rechte vorbehalten.	Tutti i diritti riservati.	All Rights Reserved
STR_LEGAL_7		"Published by Hasbro Interactive, Inc."	"Published by Hasbro Interactive, Inc."	"Veröffentlicht von Hasbro Interactive, Inc."	"Pubblicato da Hasbro Interactive, Inc."	"Published by Hasbro Interactive, Inc."
STR_LEGAL_8		Designed and Developed by Blitz Games.	Designed and Developed by Blitz Games.	Design und Entwicklung von Blitz Games.	Progettato e sviluppato da Blitz Games.	Designed and Developed by Blitz Games.
STR_LEGAL_9	COPYRIGHT INFO - END	*	*	*	*	*
STR_PCSETUP_VIDEO	Title for section containing info on your view cards	Video Device	Affichage	Grafikanzeigegerät	Schede video	Video Device
STR_PCSETUP_RESOLUTION	Title for section containing screen resolutions you may select	Screen Resolution	Résolution de l'écran	Bildschirmauflösung	Risoluzione dello schermo	Screen Resolution
STR_PCSETUP_OK	Button title	OK	OK	OK	OK	OK
STR_PCSETUP_CANCEL	Button title	Cancel	Annuler	Abbrechen	Cancella	Cancel
STR_PCSETUP_CONTROLS	Button title	Controls	Commandes	Steuerung	Controlli	Controls
STR_PCSETUP_WINDOWED	Check box title	Run Windowed	Exécuter en mode fenêtrage	Als Fenster anzeigen	Esegui in modalità finestra	Run Windowed
STR_PCSETUP_SETUP	Button title	Setup	Configuration	Einstellungen	Impostazioni	Setup
STR_PCSETUP_KEYBOARD	Button title	Keyboard	Clavier	Tastatur	Tastiera	Keyboard
STR_PCSETUP_INSERTCD	Appears in a dialogue box	Please insert your Frogger2 CD!	Insère ton CD de Frogger2 !	Bitte Frogger 2-CD einlegen!	Inserire il CD-ROM di Frogger 2!	Please insert your Frogger2 CD!
STR_PCSETUP_BADVIDEO	Error message: add bullet points with [Alt-0183 on num key pad] and new-lines with \n	"Frogger2 failed to start DirectX. You could try the following:\n\n· Run in full-screen mode (uncheck Run Windowed)\n· Select a lower video resolution\n· Use the software rendering mode\n\nIf these do not help, consult the accompanying documentation."	"Frogger2 n'a pas réussi à lancer DirectX. Les opérations suivantes peuvent régler le problème :\n\n· Exécuter le jeu en mode pleine page (désélectionne l'option d'exécution en mode fenêtrage)\n· Sélectionner une résolution inférieure\n· Utiliser le mode de rendement logiciel\n\nSi tes problèmes persistent, reporte-toi à la documentation fournie."	"Frogger 2 konnte DirectX nicht starten. Es gibt folgende Möglichkeiten:\n\n· Im Modus Vollbildschirm anzeigen (Häkchen neben „Als Fenster anzeigen“ entfernen)\n· Eine niedrigere Grafikauflösung wählen\n· Den Modus Software Rendering benutzen\n\n Sollte dies nicht helfen, können weitere Hinweise in den beigefügten Materialien zu Rate gezogen werden."	"Frogger 2 non è riuscito a lanciare DirectX. Prova le seguenti soluzioni:\n\n· gioca in modalità a schermo intero (disattiva la modalita in finestra)\n· seleziona una risoluzione dello schermo più bassa\n· utilizza la modalità di rendering via software.\n\nSe ancora non dovesse funzionare, consulta la documentazione allegata."	"Frogger2 failed to start DirectX. You could try the following:\n\n· Run in full-screen mode (uncheck Run Windowed)\n· Select a lower video resolution\n· Use the software rendering mode\n\nIf these do not help, consult the accompanying documentation."
STR_PCSETUP_PRESSKEY	Instruction	"Press your chosen key, or click 'Cancel' to go back"	Appuie sur la touche désirée ou clique sur « Annuler » pour revenir à l'écran précédent	Drücke die gewünschte Taste oder klicke auf „Abbrechen“ um zurückzugehen.	Premi il tasto scelto o clicca su 'Cancella' per tornare indietro.	"Press your chosen key, or click 'Cancel' to go back"
STR_PCSETUP_DEFAULTKEYS	message box	Are you sure you want to reset the controls?	Es-tu sûr(e) de vouloir rétablir les commandes ?	Sollen die Steuerungsvorgaben wirklich wiederhergestellt werden?	Sei sicuro di voler ritornare ai controlli predefiniti?	Are you sure you want to reset the controls?
STR_LEVEL_PCMULTI1		Rocket Race	Rocket Race	Rocket Race	Rocket Race	Rocket Race
STR_LEVEL_PCMULTI2		Fossil Frenzy	Fossil Frenzy	Fossil Frenzy	Fossil Frenzy	Fossil Frenzy
STR_LEVEL_PCMULTI3		Jumpin' Pumpkin	Jumpin' Pumpkin	Jumpin' Pumpkin	Jumpin' Pumpkin	Jumpin' Pumpkin
STR_LEVEL_PCMULTI4		Storeroom Stampede	Storeroom Stampede	Storeroom Stampede	Storeroom Stampede	Storeroom Stampede
